atm_name,transaction_date,No_Of_Withdrawals,total_amount_withdrawn,weekday_monday,weekday_saturday,weekday_sunday,weekday_thursday,weekday_tuesday,weekday_wednesday,working_day_W,day_type_Day of Ashura,day_type_Diwali,day_type_Easter Sunday,day_type_Eid al-Adha,day_type_Eid ul-Fitr,day_type_Feast of Pentecost,day_type_Gandhi Jayanti,day_type_Good Friday,day_type_Holi,day_type_Independence Day,day_type_Labour Day,day_type_Makar Sankranti / Pongal,day_type_Mawlid,day_type_Normal Day,day_type_Palm Sunday,day_type_Republic Day,moving_avg_7d,prev_day_withdrawals,prev_day_amount,lag_1,lag_7
Mount Road ATM,2011-01-04,246,826000,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,624657.1428571428,34.0,101600.0,101600.0,300000.0
Airport ATM,2011-01-04,113,541600,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,689442.8571428572,246.0,826000.0,826000.0,88100.0
KK Nagar ATM,2011-01-04,225,999400,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,704057.1428571428,113.0,541600.0,541600.0,897100.0
Christ College ATM,2011-01-04,143,737400,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,723128.5714285715,225.0,999400.0,999400.0,603900.0
Big Street ATM,2011-01-05,30,98000,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,546685.7142857143,143.0,737400.0,737400.0,1333100.0
Mount Road ATM,2011-01-05,211,754400,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,579771.4285714285,30.0,98000.0,98000.0,522800.0
Airport ATM,2011-01-05,100,530000,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,640971.4285714285,211.0,754400.0,754400.0,101600.0
KK Nagar ATM,2011-01-05,255,959200,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,660000.0,100.0,530000.0,530000.0,826000.0
Christ College ATM,2011-01-05,95,387300,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,637957.1428571428,255.0,959200.0,959200.0,541600.0
Big Street ATM,2011-01-06,29,85900,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,507457.14285714284,95.0,387300.0,387300.0,999400.0
Mount Road ATM,2011-01-06,213,834200,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,521285.71428571426,29.0,85900.0,85900.0,737400.0
Airport ATM,2011-01-06,96,434500,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,569357.1428571428,213.0,834200.0,834200.0,98000.0
KK Nagar ATM,2011-01-06,211,820700,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,578828.5714285715,96.0,434500.0,434500.0,754400.0
Christ College ATM,2011-01-06,116,430500,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,564614.2857142857,211.0,820700.0,820700.0,530000.0
Big Street ATM,2011-01-07,23,76500,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,438514.28571428574,116.0,430500.0,430500.0,959200.0
Mount Road ATM,2011-01-07,172,575300,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,465371.4285714286,23.0,76500.0,76500.0,387300.0
Airport ATM,2011-01-07,85,334800,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,500928.5714285714,172.0,575300.0,575300.0,85900.0
KK Nagar ATM,2011-01-07,205,833500,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,500828.5714285714,85.0,334800.0,334800.0,834200.0
Christ College ATM,2011-01-07,85,345800,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,488157.14285714284,205.0,833500.0,833500.0,434500.0
Big Street ATM,2011-01-08,37,128600,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,389285.71428571426,85.0,345800.0,345800.0,820700.0
Mount Road ATM,2011-01-08,212,792700,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,441028.5714285714,37.0,128600.0,128600.0,430500.0
Airport ATM,2011-01-08,126,518900,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,504228.5714285714,212.0,792700.0,792700.0,76500.0
KK Nagar ATM,2011-01-08,217,782100,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,533771.4285714285,126.0,518900.0,518900.0,575300.0
Christ College ATM,2011-01-08,86,366500,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,538300.0,217.0,782100.0,782100.0,334800.0
Big Street ATM,2011-01-09,36,89000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,431942.85714285716,86.0,366500.0,366500.0,833500.0
Mount Road ATM,2011-01-09,311,751800,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,489942.85714285716,36.0,89000.0,89000.0,345800.0
Airport ATM,2011-01-09,106,337100,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,519728.5714285714,311.0,751800.0,751800.0,128600.0
KK Nagar ATM,2011-01-09,149,438000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,469057.14285714284,106.0,337100.0,337100.0,792700.0
Christ College ATM,2011-01-09,100,363800,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,446900.0,149.0,438000.0,438000.0,518900.0
Big Street ATM,2011-01-10,29,89800,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,348000.0,100.0,363800.0,363800.0,782100.0
Mount Road ATM,2011-01-10,219,702200,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,395957.14285714284,29.0,89800.0,89800.0,366500.0
Airport ATM,2011-01-10,99,424200,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,443842.85714285716,219.0,702200.0,702200.0,89000.0
KK Nagar ATM,2011-01-10,224,949700,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,472114.28571428574,99.0,424200.0,424200.0,751800.0
Christ College ATM,2011-01-10,116,545400,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,501871.4285714286,224.0,949700.0,949700.0,337100.0
Big Street ATM,2011-01-11,42,111900,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,455285.71428571426,116.0,545400.0,545400.0,438000.0
Mount Road ATM,2011-01-11,232,506000,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,475600.0,42.0,111900.0,111900.0,363800.0
Airport ATM,2011-01-11,101,390700,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,518585.71428571426,232.0,506000.0,506000.0,89800.0
KK Nagar ATM,2011-01-11,228,837900,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,537971.4285714285,101.0,390700.0,390700.0,702200.0
Christ College ATM,2011-01-11,92,343700,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,526471.4285714285,228.0,837900.0,837900.0,424200.0
Big Street ATM,2011-01-12,19,42700,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,396900.0,92.0,343700.0,343700.0,949700.0
Mount Road ATM,2011-01-12,235,647600,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,411500.0,19.0,42700.0,42700.0,545400.0
Airport ATM,2011-01-12,116,497200,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,466542.85714285716,235.0,647600.0,647600.0,111900.0
KK Nagar ATM,2011-01-12,198,769600,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,504200.0,116.0,497200.0,497200.0,506000.0
Christ College ATM,2011-01-12,74,301300,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,491428.5714285714,198.0,769600.0,769600.0,390700.0
Big Street ATM,2011-01-13,22,81200,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,383328.5714285714,74.0,301300.0,301300.0,837900.0
Mount Road ATM,2011-01-13,184,506300,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,406557.14285714284,22.0,81200.0,81200.0,343700.0
Airport ATM,2011-01-13,103,411700,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,459271.4285714286,184.0,506300.0,506300.0,42700.0
KK Nagar ATM,2011-01-13,223,771400,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,476957.14285714284,103.0,411700.0,411700.0,647600.0
Christ College ATM,2011-01-13,143,510300,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,478828.5714285714,223.0,771400.0,771400.0,497200.0
Big Street ATM,2011-01-14,25,91100,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,381900.0,143.0,510300.0,510300.0,769600.0
Mount Road ATM,2011-01-14,179,451400,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,403342.85714285716,25.0,91100.0,91100.0,301300.0
Airport ATM,2011-01-14,109,458500,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,457242.85714285716,179.0,451400.0,451400.0,81200.0
KK Nagar ATM,2011-01-14,238,876400,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,510114.28571428574,109.0,458500.0,458500.0,506300.0
Christ College ATM,2011-01-14,91,373000,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,504585.71428571426,238.0,876400.0,876400.0,411700.0
Big Street ATM,2011-01-15,24,115900,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,410942.85714285716,91.0,373000.0,373000.0,771400.0
Mount Road ATM,2011-01-15,97,200500,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,366685.71428571426,24.0,115900.0,115900.0,510300.0
Airport ATM,2011-01-15,52,163300,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,377000.0,97.0,200500.0,200500.0,91100.0
KK Nagar ATM,2011-01-15,119,321400,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,358428.5714285714,52.0,163300.0,163300.0,451400.0
Christ College ATM,2011-01-15,53,206800,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,322471.4285714286,119.0,321400.0,321400.0,458500.0
Big Street ATM,2011-01-16,17,55100,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,205142.85714285713,53.0,206800.0,206800.0,876400.0
Mount Road ATM,2011-01-16,77,205300,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,181185.7142857143,17.0,55100.0,55100.0,373000.0
Airport ATM,2011-01-16,42,154100,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,186642.85714285713,77.0,205300.0,205300.0,115900.0
KK Nagar ATM,2011-01-16,99,274100,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,197157.14285714287,42.0,154100.0,154100.0,200500.0
Christ College ATM,2011-01-16,36,95200,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,187428.57142857142,99.0,274100.0,274100.0,163300.0
Big Street ATM,2011-01-17,37,129800,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,160057.14285714287,36.0,95200.0,95200.0,321400.0
Mount Road ATM,2011-01-17,72,221900,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,162214.2857142857,37.0,129800.0,129800.0,206800.0
Airport ATM,2011-01-17,40,100000,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,168628.57142857142,72.0,221900.0,221900.0,55100.0
KK Nagar ATM,2011-01-17,188,524800,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,214271.42857142858,40.0,100000.0,100000.0,205300.0
Christ College ATM,2011-01-17,46,126800,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,210371.42857142858,188.0,524800.0,524800.0,154100.0
Big Street ATM,2011-01-18,29,163600,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,194585.7142857143,46.0,126800.0,126800.0,274100.0
Mount Road ATM,2011-01-18,123,405200,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,238871.42857142858,29.0,163600.0,163600.0,95200.0
Airport ATM,2011-01-18,86,343100,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,269342.85714285716,123.0,405200.0,405200.0,129800.0
KK Nagar ATM,2011-01-18,225,831200,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,356385.71428571426,86.0,343100.0,343100.0,221900.0
Christ College ATM,2011-01-18,82,380000,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,396385.71428571426,225.0,831200.0,831200.0,100000.0
Big Street ATM,2011-01-19,33,79500,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,332771.4285714286,82.0,380000.0,380000.0,524800.0
Mount Road ATM,2011-01-19,152,537700,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,391471.4285714286,33.0,79500.0,79500.0,126800.0
Airport ATM,2011-01-19,106,428900,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,429371.4285714286,152.0,537700.0,537700.0,163600.0
KK Nagar ATM,2011-01-19,183,649200,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,464228.5714285714,106.0,428900.0,428900.0,405200.0
Christ College ATM,2011-01-19,124,446800,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,479042.85714285716,183.0,649200.0,649200.0,343100.0
Big Street ATM,2011-01-20,25,81700,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,371971.4285714286,124.0,446800.0,446800.0,831200.0
Mount Road ATM,2011-01-20,163,565500,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,398471.4285714286,25.0,81700.0,81700.0,380000.0
Airport ATM,2011-01-20,89,298000,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,429685.71428571426,163.0,565500.0,565500.0,79500.0
KK Nagar ATM,2011-01-20,120,445900,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,416571.4285714286,89.0,298000.0,298000.0,537700.0
Christ College ATM,2011-01-20,140,571300,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,436914.28571428574,120.0,445900.0,445900.0,428900.0
Big Street ATM,2011-01-21,21,86600,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,356542.85714285716,140.0,571300.0,571300.0,649200.0
Mount Road ATM,2011-01-21,139,450400,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,357057.14285714284,21.0,86600.0,86600.0,446800.0
Airport ATM,2011-01-21,67,350000,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,395385.71428571426,139.0,450400.0,450400.0,81700.0
KK Nagar ATM,2011-01-21,193,581500,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,397671.4285714286,67.0,350000.0,350000.0,565500.0
Christ College ATM,2011-01-21,90,386800,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,410357.14285714284,193.0,581500.0,581500.0,298000.0
Big Street ATM,2011-01-22,25,85400,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,358857.14285714284,90.0,386800.0,386800.0,445900.0
Mount Road ATM,2011-01-22,151,455600,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,342328.5714285714,25.0,85400.0,85400.0,571300.0
Airport ATM,2011-01-22,93,363600,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,381900.0,151.0,455600.0,455600.0,86600.0
KK Nagar ATM,2011-01-22,196,683300,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,415171.4285714286,93.0,363600.0,363600.0,450400.0
Christ College ATM,2011-01-22,95,465300,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,431642.85714285716,196.0,683300.0,683300.0,350000.0
Big Street ATM,2011-01-23,18,36800,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,353828.5714285714,95.0,465300.0,465300.0,581500.0
Mount Road ATM,2011-01-23,134,352100,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,348871.4285714286,18.0,36800.0,36800.0,386800.0
Airport ATM,2011-01-23,87,288500,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,377885.71428571426,134.0,352100.0,352100.0,85400.0
KK Nagar ATM,2011-01-23,110,290000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,354228.5714285714,87.0,288500.0,288500.0,455600.0
Christ College ATM,2011-01-23,45,212500,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,332642.85714285716,110.0,290000.0,290000.0,363600.0
Big Street ATM,2011-01-24,26,103900,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,249871.42857142858,45.0,212500.0,212500.0,683300.0
Mount Road ATM,2011-01-24,153,498900,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,254671.42857142858,26.0,103900.0,103900.0,465300.0
Airport ATM,2011-01-24,85,247800,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,284814.28571428574,153.0,498900.0,498900.0,36800.0
KK Nagar ATM,2011-01-24,207,800500,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,348871.4285714286,85.0,247800.0,247800.0,352100.0
Christ College ATM,2011-01-24,100,410800,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,366342.85714285716,207.0,800500.0,800500.0,288500.0
Big Street ATM,2011-01-25,39,139900,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,344900.0,100.0,410800.0,410800.0,290000.0
Mount Road ATM,2011-01-25,140,439300,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,377300.0,39.0,139900.0,139900.0,212500.0
Airport ATM,2011-01-25,83,363100,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,414328.5714285714,140.0,439300.0,439300.0,103900.0
KK Nagar ATM,2011-01-25,178,617000,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,431200.0,83.0,363100.0,363100.0,498900.0
Christ College ATM,2011-01-25,89,325900,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,442357.14285714284,178.0,617000.0,617000.0,247800.0
Big Street ATM,2011-01-26,18,40500,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,333785.71428571426,89.0,325900.0,325900.0,800500.0
Mount Road ATM,2011-01-26,134,255400,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,311585.71428571426,18.0,40500.0,40500.0,410800.0
Airport ATM,2011-01-26,91,248200,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,327057.14285714284,134.0,255400.0,255400.0,139900.0
KK Nagar ATM,2011-01-26,157,485900,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,333714.28571428574,91.0,248200.0,248200.0,439300.0
Christ College ATM,2011-01-26,69,258400,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,318757.14285714284,157.0,485900.0,485900.0,363100.0
Big Street ATM,2011-01-27,26,83300,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,242514.2857142857,69.0,258400.0,258400.0,617000.0
Mount Road ATM,2011-01-27,147,461500,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,261885.7142857143,26.0,83300.0,83300.0,325900.0
Airport ATM,2011-01-27,93,402100,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,313542.85714285716,147.0,461500.0,461500.0,40500.0
KK Nagar ATM,2011-01-27,181,722900,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,380328.5714285714,93.0,402100.0,402100.0,255400.0
Christ College ATM,2011-01-27,96,336300,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,392914.28571428574,181.0,722900.0,722900.0,248200.0
Big Street ATM,2011-01-28,22,71300,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,333685.71428571426,96.0,336300.0,336300.0,485900.0
Mount Road ATM,2011-01-28,126,336300,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,344814.28571428574,22.0,71300.0,71300.0,258400.0
Airport ATM,2011-01-28,77,191800,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,360314.28571428574,126.0,336300.0,336300.0,83300.0
KK Nagar ATM,2011-01-28,193,874200,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,419271.4285714286,77.0,191800.0,191800.0,461500.0
Christ College ATM,2011-01-28,77,254500,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,398185.71428571426,193.0,874200.0,874200.0,402100.0
Big Street ATM,2011-01-29,53,163500,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,318271.4285714286,77.0,254500.0,254500.0,722900.0
Mount Road ATM,2011-01-29,124,428000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,331371.4285714286,53.0,163500.0,163500.0,336300.0
Airport ATM,2011-01-29,82,384600,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,376128.5714285714,124.0,428000.0,428000.0,71300.0
KK Nagar ATM,2011-01-29,269,1082200,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,482685.71428571426,82.0,384600.0,384600.0,336300.0
